id,week_number,home,away,comp
1055,42,56,53,Ligue 1
1056,42,49,51,Ligue 1
1057,42,47,50,Ligue 1
1058,42,45,48,Ligue 1
1059,42,43,46,Ligue 1
1060,42,42,44,Ligue 1
1061,44,41,57,Ligue 1
1062,44,59,54,Ligue 1
1063,44,60,52,Ligue 1
1064,44,58,56,Ligue 1
1065,44,55,49,Ligue 1
1066,44,53,47,Ligue 1
1067,44,51,45,Ligue 1
1068,44,50,43,Ligue 1
1069,44,48,42,Ligue 1
1070,44,46,44,Ligue 1
1071,45,54,41,Ligue 1
1072,45,52,57,Ligue 1
1073,45,56,59,Ligue 1
1074,45,49,60,Ligue 1
1075,45,47,58,Ligue 1
1076,45,45,55,Ligue 1
1077,45,43,53,Ligue 1
1078,45,42,51,Ligue 1
1079,45,44,50,Ligue 1
1080,45,46,48,Ligue 1
1081,46,41,52,Ligue 1
1082,46,54,56,Ligue 1
1083,46,57,49,Ligue 1
1084,46,59,47,Ligue 1
1085,46,60,45,Ligue 1
1086,46,58,43,Ligue 1
1087,46,55,42,Ligue 1
1088,46,53,44,Ligue 1
1089,46,51,46,Ligue 1
1090,46,50,48,Ligue 1
1091,48,56,41,Ligue 1
1092,48,49,52,Ligue 1
1093,48,47,54,Ligue 1
1094,48,45,57,Ligue 1
1095,48,43,59,Ligue 1
1096,48,42,60,Ligue 1
1097,48,44,58,Ligue 1
1098,48,46,55,Ligue 1
1099,48,48,53,Ligue 1
1100,48,50,51,Ligue 1
1101,49,41,49,Ligue 1
1102,49,56,47,Ligue 1
1103,49,52,45,Ligue 1
1104,49,54,43,Ligue 1
1105,49,57,42,Ligue 1
1106,49,59,44,Ligue 1
1107,49,60,46,Ligue 1
1108,49,58,48,Ligue 1
1109,49,55,50,Ligue 1
1110,49,53,51,Ligue 1
1111,50,47,41,Ligue 1
1112,50,45,49,Ligue 1
1113,50,43,56,Ligue 1
1114,50,42,52,Ligue 1
1115,50,44,54,Ligue 1
1116,50,46,57,Ligue 1
1117,50,48,59,Ligue 1
1118,50,50,60,Ligue 1
1119,50,51,58,Ligue 1
1120,50,53,55,Ligue 1
1121,52,41,45,Ligue 1
1122,52,47,43,Ligue 1
1123,52,49,42,Ligue 1
1124,52,56,44,Ligue 1
1125,52,52,46,Ligue 1
1126,52,54,48,Ligue 1
1127,52,57,50,Ligue 1
1128,52,59,51,Ligue 1
1129,52,60,53,Ligue 1
1130,52,58,55,Ligue 1
1131,53,43,41,Ligue 1
1132,53,42,45,Ligue 1
1133,53,44,47,Ligue 1
1134,53,46,49,Ligue 1
1135,53,48,56,Ligue 1
1136,53,50,52,Ligue 1
1137,53,51,54,Ligue 1
1138,53,53,57,Ligue 1
1139,53,55,59,Ligue 1
1140,53,58,60,Ligue 1
1141,4,61,62,Ligue 2
1142,4,63,64,Ligue 2
1143,4,65,66,Ligue 2
1144,4,67,68,Ligue 2
1145,4,69,70,Ligue 2
1146,4,76,71,Ligue 2
1147,4,72,73,Ligue 2
1148,4,74,75,Ligue 2
1149,4,77,78,Ligue 2
1150,4,79,80,Ligue 2
1151,5,64,61,Ligue 2
1152,5,66,62,Ligue 2
1153,5,68,63,Ligue 2
1154,5,70,65,Ligue 2
1155,5,71,67,Ligue 2
1156,5,73,69,Ligue 2
1157,5,75,76,Ligue 2
1158,5,78,72,Ligue 2
1159,5,80,74,Ligue 2
1160,5,79,77,Ligue 2
1161,6,61,66,Ligue 2
1162,6,64,68,Ligue 2
1163,6,62,70,Ligue 2
1164,6,63,71,Ligue 2
1165,6,65,73,Ligue 2
1166,6,67,75,Ligue 2
1167,6,69,78,Ligue 2
1168,6,76,80,Ligue 2
1169,6,72,79,Ligue 2
1170,6,74,77,Ligue 2
1171,8,68,61,Ligue 2
1172,8,70,66,Ligue 2
1173,8,71,64,Ligue 2
1174,8,73,62,Ligue 2
1175,8,75,63,Ligue 2
1176,8,78,65,Ligue 2
1177,8,80,67,Ligue 2
1178,8,79,69,Ligue 2
1179,8,77,76,Ligue 2
1180,8,74,72,Ligue 2
1181,9,61,70,Ligue 2
1182,9,68,71,Ligue 2
1183,9,66,73,Ligue 2
1184,9,64,75,Ligue 2
1185,9,62,78,Ligue 2
1186,9,63,80,Ligue 2
1187,9,65,79,Ligue 2
1188,9,67,77,Ligue 2
1189,9,69,74,Ligue 2
1190,9,76,72,Ligue 2
1191,10,71,61,Ligue 2
1192,10,73,70,Ligue 2
1193,10,75,68,Ligue 2
1194,10,78,66,Ligue 2
1195,10,80,64,Ligue 2
1196,10,79,62,Ligue 2
1197,10,77,63,Ligue 2
1198,10,74,65,Ligue 2
1199,10,72,67,Ligue 2
1200,10,76,69,Ligue 2
1201,12,61,73,Ligue 2
1202,12,71,75,Ligue 2
1203,12,70,78,Ligue 2
1204,12,68,80,Ligue 2
1205,12,66,79,Ligue 2
1206,12,64,77,Ligue 2
1207,12,62,74,Ligue 2
1208,12,63,72,Ligue 2
1209,12,65,76,Ligue 2
1210,12,67,69,Ligue 2
1211,13,75,61,Ligue 2
1212,13,78,73,Ligue 2
1213,13,80,71,Ligue 2
1214,13,79,70,Ligue 2
1215,13,77,68,Ligue 2
1216,13,74,66,Ligue 2
1217,13,72,64,Ligue 2
1218,13,76,62,Ligue 2
1219,13,69,63,Ligue 2
1220,13,67,65,Ligue 2
1221,14,61,78,Ligue 2
1222,14,75,80,Ligue 2
1223,14,73,79,Ligue 2
1224,14,71,77,Ligue 2
1225,14,70,74,Ligue 2
1226,14,68,72,Ligue 2
1227,14,66,76,Ligue 2
1228,14,64,69,Ligue 2
1229,14,62,67,Ligue 2
1230,14,63,65,Ligue 2
1231,16,80,61,Ligue 2
1232,16,79,78,Ligue 2
1233,16,77,75,Ligue 2
1234,16,74,73,Ligue 2
1235,16,72,71,Ligue 2
1236,16,76,70,Ligue 2
1237,16,69,68,Ligue 2
1238,16,67,66,Ligue 2
1239,16,65,64,Ligue 2
1240,16,63,62,Ligue 2
1241,17,61,79,Ligue 2
1242,17,80,77,Ligue 2
1243,17,78,74,Ligue 2
1244,17,75,72,Ligue 2
1245,17,73,76,Ligue 2
1246,17,71,69,Ligue 2
1247,17,70,67,Ligue 2
1248,17,68,65,Ligue 2
1249,17,66,63,Ligue 2
1250,17,64,62,Ligue 2
1251,18,77,61,Ligue 2
1252,18,74,79,Ligue 2
1253,18,72,80,Ligue 2
1254,18,76,78,Ligue 2
1255,18,69,75,Ligue 2
1256,18,67,73,Ligue 2
1257,18,65,71,Ligue 2
1258,18,63,70,Ligue 2
1259,18,62,68,Ligue 2
1260,18,64,66,Ligue 2
1261,20,61,74,Ligue 2
1262,20,77,72,Ligue 2
1263,20,79,76,Ligue 2
1264,20,80,69,Ligue 2
1265,20,78,67,Ligue 2
1266,20,75,65,Ligue 2
1267,20,73,63,Ligue 2
1268,20,71,62,Ligue 2
1269,20,70,64,Ligue 2
1270,20,68,66,Ligue 2
1271,21,72,61,Ligue 2
1272,21,76,74,Ligue 2
1273,21,69,77,Ligue 2
1274,21,67,79,Ligue 2
1275,21,65,80,Ligue 2
1276,21,63,78,Ligue 2
1277,21,62,75,Ligue 2
1278,21,64,73,Ligue 2
1279,21,66,71,Ligue 2
1280,21,68,70,Ligue 2
1281,22,61,76,Ligue 2
1282,22,72,69,Ligue 2
1283,22,74,67,Ligue 2
1284,22,77,65,Ligue 2
1285,22,79,63,Ligue 2
1286,22,80,62,Ligue 2
1287,22,78,64,Ligue 2
1288,22,75,66,Ligue 2
1289,22,73,68,Ligue 2
1290,22,71,70,Ligue 2
1291,24,69,61,Ligue 2
1292,24,67,76,Ligue 2
1293,24,65,72,Ligue 2
1294,24,63,74,Ligue 2
1295,24,62,77,Ligue 2
1296,24,64,79,Ligue 2
1297,24,66,80,Ligue 2
1298,24,68,78,Ligue 2
1299,24,70,75,Ligue 2
1300,24,71,73,Ligue 2
1301,25,61,67,Ligue 2
1302,25,69,65,Ligue 2
1303,25,76,63,Ligue 2
1304,25,72,62,Ligue 2
1305,25,74,64,Ligue 2
1306,25,77,66,Ligue 2
1307,25,79,68,Ligue 2
1308,25,80,70,Ligue 2
1309,25,78,71,Ligue 2
1310,25,75,73,Ligue 2
1311,26,65,61,Ligue 2
1312,26,63,67,Ligue 2
1313,26,62,69,Ligue 2
1314,26,64,76,Ligue 2
1315,26,66,72,Ligue 2
1316,26,68,74,Ligue 2
1317,26,70,77,Ligue 2
1318,26,71,79,Ligue 2
1319,26,73,80,Ligue 2
1320,26,75,78,Ligue 2
1321,28,61,63,Ligue 2
1322,28,65,62,Ligue 2
1323,28,67,64,Ligue 2
1324,28,69,66,Ligue 2
1325,28,76,68,Ligue 2
1326,28,72,70,Ligue 2
1327,28,74,71,Ligue 2
1328,28,77,73,Ligue 2
1329,28,79,75,Ligue 2
1330,28,80,78,Ligue 2
1331,29,62,61,Ligue 2
1332,29,64,63,Ligue 2
1333,29,66,65,Ligue 2
1334,29,68,67,Ligue 2
1335,29,70,69,Ligue 2
1336,29,71,76,Ligue 2
1337,29,73,72,Ligue 2
1338,29,75,74,Ligue 2
1339,29,78,77,Ligue 2
1340,29,80,79,Ligue 2
1341,30,61,64,Ligue 2
1342,30,62,66,Ligue 2
1343,30,63,68,Ligue 2
1344,30,65,70,Ligue 2
1345,30,67,71,Ligue 2
1346,30,69,73,Ligue 2
1347,30,76,75,Ligue 2
1348,30,72,78,Ligue 2
1349,30,74,80,Ligue 2
1350,30,77,79,Ligue 2
1351,32,66,61,Ligue 2
1352,32,68,64,Ligue 2
1353,32,70,62,Ligue 2
1354,32,71,63,Ligue 2
1355,32,73,65,Ligue 2
1356,32,75,67,Ligue 2
1357,32,78,69,Ligue 2
1358,32,80,76,Ligue 2
1359,32,79,72,Ligue 2
1360,32,77,74,Ligue 2
1361,33,61,68,Ligue 2
1362,33,66,70,Ligue 2
1363,33,64,71,Ligue 2
1364,33,62,73,Ligue 2
1365,33,63,75,Ligue 2
1366,33,65,78,Ligue 2
1367,33,67,80,Ligue 2
1368,33,69,79,Ligue 2
1369,33,76,77,Ligue 2
1370,33,72,74,Ligue 2
1371,34,70,61,Ligue 2
1372,34,71,68,Ligue 2
1373,34,73,66,Ligue 2
1374,34,75,64,Ligue 2
1375,34,78,62,Ligue 2
1376,34,80,63,Ligue 2
1377,34,79,65,Ligue 2
1378,34,77,67,Ligue 2
1379,34,74,69,Ligue 2
1380,34,72,76,Ligue 2
1381,36,61,71,Ligue 2
1382,36,70,73,Ligue 2
1383,36,68,75,Ligue 2
1384,36,66,78,Ligue 2
1385,36,64,80,Ligue 2
1386,36,62,79,Ligue 2
1387,36,63,77,Ligue 2
1388,36,65,74,Ligue 2
1389,36,67,72,Ligue 2
1390,36,69,76,Ligue 2
1391,37,73,61,Ligue 2
1392,37,75,71,Ligue 2
1393,37,78,70,Ligue 2
1394,37,80,68,Ligue 2
1395,37,79,66,Ligue 2
1396,37,77,64,Ligue 2
1397,37,74,62,Ligue 2
1398,37,72,63,Ligue 2
1399,37,76,65,Ligue 2
1400,37,69,67,Ligue 2
1401,38,61,75,Ligue 2
1402,38,73,78,Ligue 2
1403,38,71,80,Ligue 2
1404,38,70,79,Ligue 2
1405,38,68,77,Ligue 2
1406,38,66,74,Ligue 2
1407,38,64,72,Ligue 2
1408,38,62,76,Ligue 2
1409,38,63,69,Ligue 2
1410,38,65,67,Ligue 2
1411,40,78,61,Ligue 2
1412,40,80,75,Ligue 2
1413,40,79,73,Ligue 2
1414,40,77,71,Ligue 2
1415,40,74,70,Ligue 2
1416,40,72,68,Ligue 2
1417,40,76,66,Ligue 2
1418,40,69,64,Ligue 2
1419,40,67,62,Ligue 2
1420,40,65,63,Ligue 2
1421,41,61,80,Ligue 2
1422,41,78,79,Ligue 2
1423,41,75,77,Ligue 2
1424,41,73,74,Ligue 2
1425,41,71,72,Ligue 2
1426,41,70,76,Ligue 2
1427,41,68,69,Ligue 2
1428,41,66,67,Ligue 2
1429,41,64,65,Ligue 2
1430,41,62,63,Ligue 2
1431,42,79,61,Ligue 2
1432,42,77,80,Ligue 2
1433,42,74,78,Ligue 2
1434,42,72,75,Ligue 2
1435,42,76,73,Ligue 2
1436,42,69,71,Ligue 2
1437,42,67,70,Ligue 2
1438,42,65,68,Ligue 2
1439,42,63,66,Ligue 2
1440,42,62,64,Ligue 2
1441,44,61,77,Ligue 2
1442,44,79,74,Ligue 2
1443,44,80,72,Ligue 2
1444,44,78,76,Ligue 2
1445,44,75,69,Ligue 2
1446,44,73,67,Ligue 2
1447,44,71,65,Ligue 2
1448,44,70,63,Ligue 2
1449,44,68,62,Ligue 2
1450,44,66,64,Ligue 2
1451,45,74,61,Ligue 2
1452,45,72,77,Ligue 2
1453,45,76,79,Ligue 2
1454,45,69,80,Ligue 2
1455,45,67,78,Ligue 2
1456,45,65,75,Ligue 2
1457,45,63,73,Ligue 2
1458,45,62,71,Ligue 2
1459,45,64,70,Ligue 2
1460,45,66,68,Ligue 2
1461,46,61,72,Ligue 2
1462,46,74,76,Ligue 2
1463,46,77,69,Ligue 2
1464,46,79,67,Ligue 2
1465,46,80,65,Ligue 2
1466,46,78,63,Ligue 2
1467,46,75,62,Ligue 2
1468,46,73,64,Ligue 2
1469,46,71,66,Ligue 2
1470,46,70,68,Ligue 2
1471,48,76,61,Ligue 2
1472,48,69,72,Ligue 2
1473,48,67,74,Ligue 2
1474,48,65,77,Ligue 2
1475,48,63,79,Ligue 2
1476,48,62,80,Ligue 2
1477,48,64,78,Ligue 2
1478,48,66,75,Ligue 2
1479,48,68,73,Ligue 2
1480,48,70,71,Ligue 2
1481,49,61,69,Ligue 2
1482,49,76,67,Ligue 2
1483,49,72,65,Ligue 2
1484,49,74,63,Ligue 2
1485,49,77,62,Ligue 2
1486,49,79,64,Ligue 2
1487,49,80,66,Ligue 2
1488,49,78,68,Ligue 2
1489,49,75,70,Ligue 2
1490,49,73,71,Ligue 2
1491,50,67,61,Ligue 2
1492,50,65,69,Ligue 2
1493,50,63,76,Ligue 2
1494,50,62,72,Ligue 2
1495,50,64,74,Ligue 2
1496,50,66,77,Ligue 2
1497,50,68,79,Ligue 2
1498,50,70,80,Ligue 2
1499,50,71,78,Ligue 2
1500,50,73,75,Ligue 2
1501,52,61,65,Ligue 2
1502,52,67,63,Ligue 2
1503,52,69,62,Ligue 2
1504,52,76,64,Ligue 2
1505,52,72,66,Ligue 2
1506,52,74,68,Ligue 2
1507,52,77,70,Ligue 2
1508,52,79,71,Ligue 2
1509,52,80,73,Ligue 2
1510,52,78,75,Ligue 2
1511,53,63,61,Ligue 2
1512,53,62,65,Ligue 2
1513,53,64,67,Ligue 2
1514,53,66,69,Ligue 2
1515,53,68,76,Ligue 2
1516,53,70,72,Ligue 2
1517,53,71,74,Ligue 2
1518,53,73,77,Ligue 2
1519,53,75,79,Ligue 2
1520,53,78,80,Ligue 2
1521,4,81,82,Bundesliga 1
1522,4,83,84,Bundesliga 1
1523,4,85,86,Bundesliga 1
1524,4,87,88,Bundesliga 1
1525,4,89,90,Bundesliga 1
1526,4,96,91,Bundesliga 1
1527,4,92,93,Bundesliga 1
1528,4,94,95,Bundesliga 1
1529,4,97,98,Bundesliga 1
1530,4,99,100,Bundesliga 1
1531,5,84,81,Bundesliga 1
1532,5,86,82,Bundesliga 1
1533,5,88,83,Bundesliga 1
1534,5,90,85,Bundesliga 1
1535,5,91,87,Bundesliga 1
1536,5,93,89,Bundesliga 1
1537,5,95,96,Bundesliga 1
1538,5,98,92,Bundesliga 1
1539,5,100,94,Bundesliga 1
1540,5,99,97,Bundesliga 1
1541,6,81,86,Bundesliga 1
1542,6,84,88,Bundesliga 1
1543,6,82,90,Bundesliga 1
1544,6,83,91,Bundesliga 1
1545,6,85,93,Bundesliga 1
1546,6,87,95,Bundesliga 1
1547,6,89,98,Bundesliga 1
1548,6,96,100,Bundesliga 1
1549,6,92,99,Bundesliga 1
1550,6,94,97,Bundesliga 1
1551,8,88,81,Bundesliga 1
1552,8,90,86,Bundesliga 1
1553,8,91,84,Bundesliga 1
1554,8,93,82,Bundesliga 1
1555,8,95,83,Bundesliga 1
1556,8,98,85,Bundesliga 1
1557,8,100,87,Bundesliga 1
1558,8,99,89,Bundesliga 1
1559,8,97,96,Bundesliga 1
1560,8,94,92,Bundesliga 1
1561,9,81,90,Bundesliga 1
1562,9,88,91,Bundesliga 1
1563,9,86,93,Bundesliga 1
1564,9,84,95,Bundesliga 1
1565,9,82,98,Bundesliga 1
1566,9,83,100,Bundesliga 1
1567,9,85,99,Bundesliga 1
1568,9,87,97,Bundesliga 1
1569,9,89,94,Bundesliga 1
1570,9,96,92,Bundesliga 1
1571,10,91,81,Bundesliga 1
1572,10,93,90,Bundesliga 1
1573,10,95,88,Bundesliga 1
1574,10,98,86,Bundesliga 1
1575,10,100,84,Bundesliga 1
1576,10,99,82,Bundesliga 1
1577,10,97,83,Bundesliga 1
1578,10,94,85,Bundesliga 1
1579,10,92,87,Bundesliga 1
1580,10,96,89,Bundesliga 1
1581,12,81,93,Bundesliga 1
1582,12,91,95,Bundesliga 1
1583,12,90,98,Bundesliga 1
1584,12,88,100,Bundesliga 1
1585,12,86,99,Bundesliga 1
1586,12,84,97,Bundesliga 1
1587,12,82,94,Bundesliga 1
1588,12,83,92,Bundesliga 1
1589,12,85,96,Bundesliga 1
1590,12,87,89,Bundesliga 1
1591,13,95,81,Bundesliga 1
1592,13,98,93,Bundesliga 1
1593,13,100,91,Bundesliga 1
1594,13,99,90,Bundesliga 1
1595,13,97,88,Bundesliga 1
1596,13,94,86,Bundesliga 1
1597,13,92,84,Bundesliga 1
1598,13,96,82,Bundesliga 1
1599,13,89,83,Bundesliga 1
1600,13,87,85,Bundesliga 1
1601,14,81,98,Bundesliga 1
1602,14,95,100,Bundesliga 1
1603,14,93,99,Bundesliga 1
1604,14,91,97,Bundesliga 1
1605,14,90,94,Bundesliga 1
1606,14,88,92,Bundesliga 1
1607,14,86,96,Bundesliga 1
1608,14,84,89,Bundesliga 1
1609,14,82,87,Bundesliga 1
1610,14,83,85,Bundesliga 1
1611,16,100,81,Bundesliga 1
1612,16,99,98,Bundesliga 1
1613,16,97,95,Bundesliga 1
1614,16,94,93,Bundesliga 1
1615,16,92,91,Bundesliga 1
1616,16,96,90,Bundesliga 1
1617,16,89,88,Bundesliga 1
1618,16,87,86,Bundesliga 1
1619,16,85,84,Bundesliga 1
1620,16,83,82,Bundesliga 1
1621,17,81,99,Bundesliga 1
1622,17,100,97,Bundesliga 1
1623,17,98,94,Bundesliga 1
1624,17,95,92,Bundesliga 1
1625,17,93,96,Bundesliga 1
1626,17,91,89,Bundesliga 1
1627,17,90,87,Bundesliga 1
1628,17,88,85,Bundesliga 1
1629,17,86,83,Bundesliga 1
1630,17,84,82,Bundesliga 1
1631,18,97,81,Bundesliga 1
1632,18,94,99,Bundesliga 1
1633,18,92,100,Bundesliga 1
1634,18,96,98,Bundesliga 1
1635,18,89,95,Bundesliga 1
1636,18,87,93,Bundesliga 1
1637,18,85,91,Bundesliga 1
1638,18,83,90,Bundesliga 1
1639,18,82,88,Bundesliga 1
1640,18,84,86,Bundesliga 1
1641,20,81,94,Bundesliga 1
1642,20,97,92,Bundesliga 1
1643,20,99,96,Bundesliga 1
1644,20,100,89,Bundesliga 1
1645,20,98,87,Bundesliga 1
1646,20,95,85,Bundesliga 1
1647,20,93,83,Bundesliga 1
1648,20,91,82,Bundesliga 1
1649,20,90,84,Bundesliga 1
1650,20,88,86,Bundesliga 1
1651,21,92,81,Bundesliga 1
1652,21,96,94,Bundesliga 1
1653,21,89,97,Bundesliga 1
1654,21,87,99,Bundesliga 1
1655,21,85,100,Bundesliga 1
1656,21,83,98,Bundesliga 1
1657,21,82,95,Bundesliga 1
1658,21,84,93,Bundesliga 1
1659,21,86,91,Bundesliga 1
1660,21,88,90,Bundesliga 1
1661,22,81,96,Bundesliga 1
1662,22,92,89,Bundesliga 1
1663,22,94,87,Bundesliga 1
1664,22,97,85,Bundesliga 1
1665,22,99,83,Bundesliga 1
1666,22,100,82,Bundesliga 1
1667,22,98,84,Bundesliga 1
1668,22,95,86,Bundesliga 1
1669,22,93,88,Bundesliga 1
1670,22,91,90,Bundesliga 1
1671,24,89,81,Bundesliga 1
1672,24,87,96,Bundesliga 1
1673,24,85,92,Bundesliga 1
1674,24,83,94,Bundesliga 1
1675,24,82,97,Bundesliga 1
1676,24,84,99,Bundesliga 1
1677,24,86,100,Bundesliga 1
1678,24,88,98,Bundesliga 1
1679,24,90,95,Bundesliga 1
1680,24,91,93,Bundesliga 1
1681,25,81,87,Bundesliga 1
1682,25,89,85,Bundesliga 1
1683,25,96,83,Bundesliga 1
1684,25,92,82,Bundesliga 1
1685,25,94,84,Bundesliga 1
1686,25,97,86,Bundesliga 1
1687,25,99,88,Bundesliga 1
1688,25,100,90,Bundesliga 1
1689,25,98,91,Bundesliga 1
1690,25,95,93,Bundesliga 1
1691,26,85,81,Bundesliga 1
1692,26,83,87,Bundesliga 1
1693,26,82,89,Bundesliga 1
1694,26,84,96,Bundesliga 1
1695,26,86,92,Bundesliga 1
1696,26,88,94,Bundesliga 1
1697,26,90,97,Bundesliga 1
1698,26,91,99,Bundesliga 1
1699,26,93,100,Bundesliga 1
1700,26,95,98,Bundesliga 1
1701,28,81,83,Bundesliga 1
1702,28,85,82,Bundesliga 1
1703,28,87,84,Bundesliga 1
1704,28,89,86,Bundesliga 1
1705,28,96,88,Bundesliga 1
1706,28,92,90,Bundesliga 1
1707,28,94,91,Bundesliga 1
1708,28,97,93,Bundesliga 1
1709,28,99,95,Bundesliga 1
1710,28,100,98,Bundesliga 1
1711,29,82,81,Bundesliga 1
1712,29,84,83,Bundesliga 1
1713,29,86,85,Bundesliga 1
1714,29,88,87,Bundesliga 1
1715,29,90,89,Bundesliga 1
1716,29,91,96,Bundesliga 1
1717,29,93,92,Bundesliga 1
1718,29,95,94,Bundesliga 1
1719,29,98,97,Bundesliga 1
1720,29,100,99,Bundesliga 1
1721,30,81,84,Bundesliga 1
1722,30,82,86,Bundesliga 1
1723,30,83,88,Bundesliga 1
1724,30,85,90,Bundesliga 1
1725,30,87,91,Bundesliga 1
1726,30,89,93,Bundesliga 1
1727,30,96,95,Bundesliga 1
1728,30,92,98,Bundesliga 1
1729,30,94,100,Bundesliga 1
1730,30,97,99,Bundesliga 1
1731,32,86,81,Bundesliga 1
1732,32,88,84,Bundesliga 1
1733,32,90,82,Bundesliga 1
1734,32,91,83,Bundesliga 1
1735,32,93,85,Bundesliga 1
1736,32,95,87,Bundesliga 1
1737,32,98,89,Bundesliga 1
1738,32,100,96,Bundesliga 1
1739,32,99,92,Bundesliga 1
1740,32,97,94,Bundesliga 1
1741,33,81,88,Bundesliga 1
1742,33,86,90,Bundesliga 1
1743,33,84,91,Bundesliga 1
1744,33,82,93,Bundesliga 1
1745,33,83,95,Bundesliga 1
1746,33,85,98,Bundesliga 1
1747,33,87,100,Bundesliga 1
1748,33,89,99,Bundesliga 1
1749,33,96,97,Bundesliga 1
1750,33,92,94,Bundesliga 1
1751,34,90,81,Bundesliga 1
1752,34,91,88,Bundesliga 1
1753,34,93,86,Bundesliga 1
1754,34,95,84,Bundesliga 1
1755,34,98,82,Bundesliga 1
1756,34,100,83,Bundesliga 1
1757,34,99,85,Bundesliga 1
1758,34,97,87,Bundesliga 1
1759,34,94,89,Bundesliga 1
1760,34,92,96,Bundesliga 1
1761,36,81,91,Bundesliga 1
1762,36,90,93,Bundesliga 1
1763,36,88,95,Bundesliga 1
1764,36,86,98,Bundesliga 1
1765,36,84,100,Bundesliga 1
1766,36,82,99,Bundesliga 1
1767,36,83,97,Bundesliga 1
1768,36,85,94,Bundesliga 1
1769,36,87,92,Bundesliga 1
1770,36,89,96,Bundesliga 1
1771,37,93,81,Bundesliga 1
1772,37,95,91,Bundesliga 1
1773,37,98,90,Bundesliga 1
1774,37,100,88,Bundesliga 1
1775,37,99,86,Bundesliga 1
1776,37,97,84,Bundesliga 1
1777,37,94,82,Bundesliga 1
1778,37,92,83,Bundesliga 1
1779,37,96,85,Bundesliga 1
1780,37,89,87,Bundesliga 1
1781,38,81,95,Bundesliga 1
1782,38,93,98,Bundesliga 1
1783,38,91,100,Bundesliga 1
1784,38,90,99,Bundesliga 1
1785,38,88,97,Bundesliga 1
1786,38,86,94,Bundesliga 1
1787,38,84,92,Bundesliga 1
1788,38,82,96,Bundesliga 1
1789,38,83,89,Bundesliga 1
1790,38,85,87,Bundesliga 1
1791,40,98,81,Bundesliga 1
1792,40,100,95,Bundesliga 1
1793,40,99,93,Bundesliga 1
1794,40,97,91,Bundesliga 1
1795,40,94,90,Bundesliga 1
1796,40,92,88,Bundesliga 1
1797,40,96,86,Bundesliga 1
1798,40,89,84,Bundesliga 1
1799,40,87,82,Bundesliga 1
1800,40,85,83,Bundesliga 1
1801,41,81,100,Bundesliga 1
1802,41,98,99,Bundesliga 1
1803,41,95,97,Bundesliga 1
1804,41,93,94,Bundesliga 1
1805,41,91,92,Bundesliga 1
1806,41,90,96,Bundesliga 1
1807,41,88,89,Bundesliga 1
1808,41,86,87,Bundesliga 1
1809,41,84,85,Bundesliga 1
1810,41,82,83,Bundesliga 1
1811,42,99,81,Bundesliga 1
1812,42,97,100,Bundesliga 1
1813,42,94,98,Bundesliga 1
1814,42,92,95,Bundesliga 1
1815,42,96,93,Bundesliga 1
1816,42,89,91,Bundesliga 1
1817,42,87,90,Bundesliga 1
1818,42,85,88,Bundesliga 1
1819,42,83,86,Bundesliga 1
1820,42,82,84,Bundesliga 1
1821,44,81,97,Bundesliga 1
1822,44,99,94,Bundesliga 1
1823,44,100,92,Bundesliga 1
1824,44,98,96,Bundesliga 1
1825,44,95,89,Bundesliga 1
1826,44,93,87,Bundesliga 1
1827,44,91,85,Bundesliga 1
1828,44,90,83,Bundesliga 1
1829,44,88,82,Bundesliga 1
1830,44,86,84,Bundesliga 1
1831,45,94,81,Bundesliga 1
1832,45,92,97,Bundesliga 1
1833,45,96,99,Bundesliga 1
1834,45,89,100,Bundesliga 1
1835,45,87,98,Bundesliga 1
1836,45,85,95,Bundesliga 1
1837,45,83,93,Bundesliga 1
1838,45,82,91,Bundesliga 1
1839,45,84,90,Bundesliga 1
1840,45,86,88,Bundesliga 1
1841,46,81,92,Bundesliga 1
1842,46,94,96,Bundesliga 1
1843,46,97,89,Bundesliga 1
1844,46,99,87,Bundesliga 1
1845,46,100,85,Bundesliga 1
1846,46,98,83,Bundesliga 1
1847,46,95,82,Bundesliga 1
1848,46,93,84,Bundesliga 1
1849,46,91,86,Bundesliga 1
1850,46,90,88,Bundesliga 1
1851,48,96,81,Bundesliga 1
1852,48,89,92,Bundesliga 1
1853,48,87,94,Bundesliga 1
1854,48,85,97,Bundesliga 1
1855,48,83,99,Bundesliga 1
1856,48,82,100,Bundesliga 1
1857,48,84,98,Bundesliga 1
1858,48,86,95,Bundesliga 1
1859,48,88,93,Bundesliga 1
1860,48,90,91,Bundesliga 1
1861,49,81,89,Bundesliga 1
1862,49,96,87,Bundesliga 1
1863,49,92,85,Bundesliga 1
1864,49,94,83,Bundesliga 1
1865,49,97,82,Bundesliga 1
1866,49,99,84,Bundesliga 1
1867,49,100,86,Bundesliga 1
1868,49,98,88,Bundesliga 1
1869,49,95,90,Bundesliga 1
1870,49,93,91,Bundesliga 1
1871,50,87,81,Bundesliga 1
1872,50,85,89,Bundesliga 1
1873,50,83,96,Bundesliga 1
1874,50,82,92,Bundesliga 1
1875,50,84,94,Bundesliga 1
1876,50,86,97,Bundesliga 1
1877,50,88,99,Bundesliga 1
1878,50,90,100,Bundesliga 1
1879,50,91,98,Bundesliga 1
1880,50,93,95,Bundesliga 1
1881,52,81,85,Bundesliga 1
1882,52,87,83,Bundesliga 1
